iter	Passed	Remaining
399	37734	56602
400	37817	56490
401	37935	56432
402	38055	56374
403	38177	56321
404	38332	56316
405	38436	56234
406	38514	56116
407	38633	56056
408	38712	55939
409	38791	55821
410	38887	55729
411	38965	55611
412	39045	55495
413	39126	55381
414	39221	55287
415	39302	55175
416	39394	55076
417	39489	54982
418	39625	54946
419	39757	54902
420	39854	54812
421	40016	54808
422	40204	54841
423	40384	54861
424	40626	54964
425	40832	55018
426	41037	55068
427	41218	55085
428	41393	55094
429	41589	55130
430	41757	55127
431	41947	55153
432	42130	55168
433	42314	55183
434	42536	55249
435	42674	55203
436	42786	55123
437	42892	55035
438	43027	54984
439	43140	54905
440	43239	54809
441	43374	54757
442	43483	54673
443	43602	54601
444	43718	54525
445	43829	54442
446	43988	54419
447	44096	54332
448	44212	54256
449	44322	54171
450	44449	54108
451	44551	54013
452	44654	53920
453	44753	53822
454	44858	53731
455	44964	53641
456	45068	53549
457	45169	53453
458	45269	53356
459	45393	53287
460	45491	53189
461	45593	53093
462	45690	52993
463	45795	52901
464	45903	52813
465	46020	52735
466	46137	52658
467	46250	52575
468	46404	52539
469	46509	52446
470	46613	52353
471	46713	52255
472	46815	52160
473	46918	52065
474	47012	51961
475	47113	51863
476	47210	51763
477	47332	51689
478	47443	51603
479	47560	51523
480	47704	51473
481	47832	51404
482	47969	51346
483	48078	51256
484	48196	51177
485	48307	51091
486	48445	51031
487	48547	50934
488	48661	50850
489	48771	50762
490	48883	50675
491	48990	50583
492	49157	50553
493	49259	50456
494	49356	50354
495	49456	50253
496	49601	50199
497	49714	50113
498	49855	50055
499	49970	49970
500	50079	49879
501	50197	49797
502	50294	49694
503	50410	49610
504	50510	49510
505	50642	49441
506	50743	49342
507	50888	49285
508	51048	49243
509	51154	49148
510	51261	49054
511	51460	49048
512	51697	49077
513	51872	49046
514	51986	48958
515	52127	48895
516	52253	48817
517	52360	48721
518	52474	48632
519	52604	48558
520	52721	48471
521	52863	48407
522	52974	48315
523	53075	48213
524	53175	48111
525	53275	48009
526	53385	47915
527	53480	47808
528	53607	47730
529	53710	47630
530	53820	47536
531	53943	47454
532	54074	47378
533	54186	47286
534	54301	47196
535	54429	47118
536	54533	47018
537	54651	46931
538	54753	46830
539	54861	46734
540	54963	46632
541	55065	46531
542	55170	46432
543	55277	46335
544	55385	46238
545	55484	46135
546	55612	46055
547	55710	45951
548	55823	45858
549	56002	45820
550	56157	45761
551	56282	45678
552	56397	45587
553	56503	45488
554	56626	45403
555	56726	45299
556	56835	45202
557	56946	45107
558	57057	45012
559	57161	44912
560	57259	44807
561	57366	44709
562	57463	44603
563	57582	44514
564	57676	44405
565	57771	44298
566	57881	44202
567	58015	44124
568	58144	44042
569	58259	43950
570	58365	43850
571	58464	43745
572	58605	43672
573	58721	43581
574	58822	43477
575	58936	43383
576	59053	43292
577	59198	43221
578	59297	43116
579	59420	43028
580	59575	42963
581	59712	42886
582	59834	42797
583	59996	42737
584	60102	42636
585	60219	42544
586	60333	42448
587	60436	42346
588	60549	42251
589	60661	42154
590	60762	42050
591	60867	41949
592	60969	41845
593	61079	41747
594	61181	41644
595	61278	41538
596	61397	41445
597	61494	41339
598	61629	41257
599	61747	41165
600	61892	41089
601	61990	40983
602	62090	40878
603	62210	40786
604	62324	40690
605	62431	40590
606	62549	40497
607	62668	40404
608	62766	40298
609	62891	40209
610	63002	40111
611	63127	40022
612	63256	39935
613	63362	39833
614	63474	39736
615	63601	39647
616	63703	39543
617	63797	39434
618	63928	39348
