iter	Accuracy	MultiClass
90	0.811954812	0.701284537
91	0.8126698127	0.6979542719
92	0.8151008151	0.6943790199
93	0.8155298155	0.6903793797
94	0.8176748177	0.685547927
95	0.817960818	0.6827762905
96	0.818961819	0.6787959839
97	0.8208208208	0.6746801602
98	0.8193908194	0.6726898668
99	0.8222508223	0.6676895481
100	0.8243958244	0.6644942454
101	0.8252538253	0.6602341265
102	0.8268268268	0.6563907256
103	0.8292578293	0.653565435
104	0.8301158301	0.6497313558
105	0.8301158301	0.6479908945
106	0.8316888317	0.6450367598
107	0.8324038324	0.6421649167
108	0.8336908337	0.640202138
109	0.8356928357	0.6364552901
110	0.8364078364	0.6329997088
111	0.8371228371	0.6310539548
112	0.8388388388	0.6264995068
113	0.8395538396	0.6232232823
114	0.83998284	0.6186352457
115	0.8411268411	0.6162675492
116	0.8435578436	0.6113972143
117	0.8451308451	0.6071654888
118	0.8465608466	0.6034639097
119	0.8485628486	0.5999343083
120	0.847990848	0.596363856
121	0.8488488488	0.5926584383
122	0.8495638496	0.5904583781
123	0.8522808523	0.5864510779
124	0.8535678536	0.5834793566
125	0.8545688546	0.5809641844
126	0.854997855	0.5785058493
127	0.8558558559	0.5759969091
128	0.8565708566	0.5732910853
129	0.8574288574	0.5704476524
130	0.8584298584	0.5683568269
131	0.8591448591	0.5663673129
132	0.8592878593	0.5638309438
133	0.8594308594	0.5607209566
134	0.8601458601	0.557456103
135	0.8611468611	0.5559176034
136	0.8607178607	0.5537097418
137	0.8618618619	0.5516529125
138	0.8624338624	0.5493368927
139	0.8634348634	0.5469347142
140	0.8637208637	0.5455352083
141	0.8644358644	0.5436974272
142	0.8661518662	0.541948445
143	0.867009867	0.5400275034
144	0.8678678679	0.5376843196
145	0.8682968683	0.5352532044
146	0.8684398684	0.5338331016
147	0.8697268697	0.5323390615
148	0.8708708709	0.5293870323
149	0.8718718719	0.5258962477
150	0.8723008723	0.5234588136
151	0.8735878736	0.5210858265
152	0.8743028743	0.5198194763
153	0.8754468754	0.5172726462
154	0.8755898756	0.5157451355
155	0.8771628772	0.5144436506
156	0.8781638782	0.5121698373
157	0.879021879	0.5103801632
158	0.8793078793	0.5086229614
159	0.8794508795	0.5067517726
160	0.8798798799	0.5051188437
161	0.8814528815	0.5034120299
162	0.8814528815	0.5012881136
163	0.8818818819	0.4996400024
164	0.8837408837	0.497708495
165	0.8843128843	0.4957482124
166	0.8845988846	0.494158547
167	0.8848848849	0.4930164956
168	0.8861718862	0.4915098799
169	0.8871728872	0.4897389207
170	0.888030888	0.4881397407
171	0.8877448877	0.4872020969
172	0.8878878879	0.4850831061
173	0.889031889	0.4825729996
174	0.8894608895	0.4815113071
175	0.8896038896	0.479906838
176	0.8906048906	0.4789353146
177	0.8901758902	0.4772757873
178	0.8916058916	0.4758713919
179	0.8911768912	0.4740110647
180	0.8927498927	0.4720054322
181	0.8936078936	0.4707008984
182	0.8937508938	0.4691527462
183	0.8938938939	0.4680739694
184	0.8946088946	0.4667060475
185	0.8953238953	0.4658592226
186	0.8963248963	0.4641688752
187	0.8966108966	0.4631046059
188	0.896038896	0.4618442977
189	0.8967538968	0.4599897824
190	0.8971828972	0.4580968704
191	0.898040898	0.4564261761
192	0.8976118976	0.4551021275
193	0.8981838982	0.4540377091
194	0.8988988989	0.4523861143
195	0.8994708995	0.4511385089
196	0.8997568998	0.4500031326
197	0.9013299013	0.4475291671
198	0.9019019019	0.4465654892
199	0.9024739025	0.4455415146
200	0.9029029029	0.4436886773
201	0.9023309023	0.4430376432
202	0.9027599028	0.4417204777
203	0.9034749035	0.4403501046
204	0.904046904	0.4391259584
205	0.905047905	0.4375411019
206	0.9051909052	0.4347886805
207	0.9056199056	0.4337884281
208	0.9064779065	0.4313201051
209	0.9061919062	0.4300944015
210	0.9069069069	0.4291604957
211	0.9077649078	0.4270810099
212	0.9079079079	0.4261769812
213	0.9089089089	0.4250211916
214	0.9094809095	0.4230668337
215	0.9091949092	0.4213741886
216	0.9096239096	0.4204675777
217	0.9086229086	0.4191763684
218	0.9094809095	0.4179970906
219	0.9097669098	0.4166472027
220	0.9106249106	0.4156175283
221	0.9107679108	0.4137557771
222	0.9113399113	0.4121793927
223	0.9119119119	0.4103002503
224	0.9133419133	0.408491344
225	0.9133419133	0.4073470573
226	0.9141999142	0.4060080632
227	0.9149149149	0.4049637001
228	0.9152009152	0.4034634435
229	0.9150579151	0.4020454884
230	0.9163449163	0.4006611963
231	0.9167739168	0.3994277673
232	0.9173459173	0.3980392592
233	0.9187759188	0.3965910113
234	0.9189189189	0.3954378747
235	0.9189189189	0.3947137857
236	0.9187759188	0.3936219111
237	0.9190619191	0.3926162605
238	0.9199199199	0.3916846933
239	0.9213499213	0.389600769
240	0.9214929215	0.3887210986
241	0.9227799228	0.3870325956
242	0.9223509224	0.385876698
243	0.9222079222	0.3851535285
244	0.9214929215	0.3840103553
245	0.9223509224	0.3830314478
246	0.9220649221	0.3819912326
247	0.9226369226	0.3805900381
248	0.9226369226	0.3794549977
249	0.9233519234	0.3786650094
250	0.9237809238	0.3771793223
251	0.9242099242	0.3760030986
252	0.9244959245	0.3749932819
253	0.9244959245	0.3743080613
254	0.9249249249	0.3731932566
255	0.9256399256	0.3720946565
256	0.9253539254	0.3713277981
257	0.9259259259	0.370335566
258	0.9260689261	0.3692522596
259	0.9259259259	0.3681531629
260	0.9254969255	0.3668507619
261	0.9257829258	0.3661969374
262	0.9259259259	0.3654704856
263	0.9267839268	0.3646193326
264	0.9279279279	0.3632048518
265	0.9283569284	0.3625389839
266	0.9284999285	0.3618035541
267	0.9297869298	0.3610698978
268	0.9297869298	0.3603483872
269	0.9305019305	0.3594539203
270	0.9299299299	0.3588486024
271	0.9299299299	0.3582064958
272	0.9303589304	0.3570511628
273	0.9303589304	0.3559669189
274	0.9300729301	0.3554621306
275	0.9307879308	0.3541998479
276	0.9313599314	0.3534049974
277	0.9312169312	0.3526075269
278	0.9322179322	0.35103218
279	0.9320749321	0.3503559428
280	0.9322179322	0.3495632445
281	0.9325039325	0.3488881309
282	0.9326469326	0.3476688042
283	0.9332189332	0.3465950129
284	0.9336479336	0.3458319136
285	0.9336479336	0.3447109578
286	0.9335049335	0.3438497848
287	0.9339339339	0.3427117803
288	0.9339339339	0.3423540589
289	0.9337909338	0.341855877
290	0.9339339339	0.341057621
291	0.9342199342	0.3405671092
292	0.9346489346	0.3394974312
293	0.9343629344	0.3389664119
294	0.9353639354	0.3379833651
295	0.9359359359	0.3363184754
296	0.9359359359	0.3359620927
297	0.9365079365	0.3352590603
298	0.9369369369	0.3345113375
299	0.9376519377	0.3337923705
300	0.9377949378	0.3329920771
301	0.9379379379	0.3321556754
302	0.9377949378	0.331281
303	0.9380809381	0.3308218668
304	0.9385099385	0.3302335483
305	0.9385099385	0.3291952609
306	0.9390819391	0.3282837059
307	0.9389389389	0.3272054225
308	0.9395109395	0.3262114359
309	0.9402259402	0.3255436378
310	0.9406549407	0.3248288047
311	0.9406549407	0.3239422347
312	0.9410839411	0.3235450301
313	0.9409409409	0.3230109251
314	0.9409409409	0.3216901347
315	0.9415129415	0.3209017137
316	0.9426569427	0.3200529328
317	0.9423709424	0.3194558387
318	0.9425139425	0.3183932171
319	0.9430859431	0.3176212264
320	0.9442299442	0.3164643468
321	0.9448019448	0.3152753562
322	0.9452309452	0.3140512464
323	0.9463749464	0.3129417257
324	0.9463749464	0.3125654116
325	0.9462319462	0.3120991665
326	0.9462319462	0.3116514642
327	0.9468039468	0.310809351
328	0.9463749464	0.3101007264
329	0.9470899471	0.3090287738
330	0.9478049478	0.3077803047
331	0.9482339482	0.3072179398
332	0.9482339482	0.3068527189
333	0.9478049478	0.3062154691
334	0.9482339482	0.305577059
335	0.9480909481	0.3050878443
336	0.9482339482	0.3042208288
337	0.9489489489	0.303088855
338	0.9490919491	0.3021871454
339	0.9490919491	0.3013592403
340	0.9499499499	0.3007613164
341	0.9503789504	0.3002705601
342	0.9503789504	0.2993246921
343	0.9506649507	0.2988956157
344	0.950950951	0.2983096425
345	0.9510939511	0.2977405335
346	0.9512369512	0.2967923448
347	0.9513799514	0.2963764209
348	0.9513799514	0.2958951996
349	0.9516659517	0.2952926274
350	0.950950951	0.2947128194
351	0.9512369512	0.2941272073
352	0.9518089518	0.293250489
353	0.9522379522	0.2925250141
354	0.9528099528	0.2919215875
355	0.952952953	0.2911549652
356	0.9533819534	0.2904162972
357	0.9530959531	0.2894136218
358	0.9532389532	0.28882356
359	0.9536679537	0.288394741
360	0.9530959531	0.2877291667
361	0.9535249535	0.2871695543
362	0.9535249535	0.2864010068
363	0.953953954	0.2860806171
364	0.953953954	0.2855396976
365	0.9552409552	0.2843225904
366	0.955955956	0.283438589
367	0.9556699557	0.2827607045
368	0.9558129558	0.2822377733
369	0.9560989561	0.2817158301
370	0.9562419562	0.2809855349
371	0.9568139568	0.2799543189
372	0.9575289575	0.279245104
373	0.9575289575	0.2785463245
374	0.9573859574	0.2779459171
375	0.9576719577	0.2775540324
376	0.9575289575	0.2770499868
377	0.9575289575	0.276728158
378	0.9582439582	0.2759297227
379	0.9578149578	0.2756860061
380	0.957957958	0.2750687634
381	0.9582439582	0.2744133879
382	0.9586729587	0.2738970815
383	0.9591019591	0.273197873
384	0.9593879594	0.2724506262
385	0.9595309595	0.2715450161
386	0.9598169598	0.2703025956
387	0.95995996	0.2696466338
388	0.95995996	0.2691669457
389	0.9598169598	0.2687010941
390	0.9603889604	0.2679319537
391	0.9602459602	0.2670886578
392	0.9605319605	0.2662648928
393	0.9602459602	0.2656058481
394	0.9602459602	0.2653532313
395	0.9605319605	0.2648313744
396	0.9603889604	0.2642938124
397	0.9611039611	0.2639052381
398	0.9612469612	0.2633187337
399	0.9608179608	0.262895579
400	0.9618189618	0.2623578763
401	0.9616759617	0.2618692212
402	0.961961962	0.2611302125
403	0.961961962	0.2603854316
404	0.9622479622	0.2598463306
405	0.961961962	0.2592813244
406	0.9622479622	0.2588758167
407	0.9621049621	0.2582958306
408	0.9618189618	0.2578604506
409	0.9621049621	0.2572263525
410	0.9626769627	0.2564155666
411	0.962962963	0.2555264972
412	0.962962963	0.2550377166
413	0.9632489632	0.2543628919
414	0.9636779637	0.2538805736
415	0.9641069641	0.2534098963
416	0.9641069641	0.2529635295
417	0.9641069641	0.2523449819
418	0.9642499642	0.2518107658
419	0.9642499642	0.2510860269
420	0.9645359645	0.2508083306
421	0.9648219648	0.2502311127
422	0.9648219648	0.2497022087
423	0.9651079651	0.2490542847
424	0.9653939654	0.248271889
425	0.9655369655	0.2478751633
426	0.9656799657	0.2474950081
427	0.9665379665	0.2466184164
428	0.9663949664	0.2464289109
429	0.9665379665	0.2461942799
430	0.9666809667	0.2460849586
431	0.9663949664	0.2455208741
432	0.9662519663	0.2451478467
433	0.965965966	0.2444550237
434	0.9666809667	0.2437970799
435	0.9671099671	0.2430537753
436	0.9672529673	0.242510757
437	0.9672529673	0.2420561572
438	0.9673959674	0.2416292558
439	0.9682539683	0.2406430912
440	0.9683969684	0.2404004431
441	0.9686829687	0.2398223213
442	0.9688259688	0.2391579942
443	0.968968969	0.2384290579
444	0.9696839697	0.2378868966
445	0.9693979694	0.237316744
446	0.9693979694	0.2368004879
447	0.9698269698	0.2364972054
448	0.9693979694	0.2360001441
449	0.9695409695	0.2356306692
450	0.9693979694	0.2352996532
451	0.96996997	0.2347814516
452	0.9698269698	0.2342325316
453	0.9696839697	0.2339584679
454	0.9696839697	0.2330919517
455	0.96996997	0.2322001573
456	0.9703989704	0.2314982544
457	0.9705419705	0.2307540126
458	0.9706849707	0.2297912881
459	0.970970971	0.2294957971
460	0.9712569713	0.2292174859
461	0.9712569713	0.2288001077
462	0.9718289718	0.2284300379
463	0.9716859717	0.2278690259
464	0.9721149721	0.2275978234
465	0.9718289718	0.2272726018
466	0.9716859717	0.2268230814
467	0.971971972	0.226312604
468	0.971971972	0.2259967983
469	0.9726869727	0.2254989
470	0.9728299728	0.2250638317
471	0.972972973	0.2247435348
472	0.9728299728	0.2240682382
473	0.9728299728	0.2236876413
474	0.9726869727	0.2233558921
475	0.9726869727	0.2230554618
476	0.9726869727	0.2226063048
477	0.9728299728	0.22221448
478	0.9726869727	0.2218498842
479	0.972972973	0.2214962771
480	0.9734019734	0.2210653879
481	0.9735449735	0.2206963566
482	0.973973974	0.2200399481
483	0.9741169741	0.2198862594
484	0.9741169741	0.2191214758
485	0.9741169741	0.2187891118
486	0.9741169741	0.2182044188
487	0.9741169741	0.21794074
488	0.973973974	0.2177086797
489	0.9742599743	0.2176135357
490	0.9742599743	0.2172804162
491	0.9744029744	0.2170459976
492	0.9744029744	0.2165671495
493	0.9745459745	0.2162054024
494	0.9742599743	0.215960007
495	0.9741169741	0.2157885184
496	0.9741169741	0.2153728727
497	0.9745459745	0.2151496494
498	0.9745459745	0.214821577
499	0.9751179751	0.214441006
500	0.9752609753	0.2139577069
501	0.9755469755	0.213312921
502	0.9758329758	0.2129077923
503	0.9761189761	0.2123702645
504	0.9764049764	0.2119175801
505	0.9766909767	0.211312366
506	0.9765479765	0.2109706466
507	0.975975976	0.2107044797
508	0.9772629773	0.2097937686
509	0.9774059774	0.2094521533
510	0.9771199771	0.2092250789
511	0.9774059774	0.2088332124
512	0.9776919777	0.208627119
513	0.9775489775	0.2082001873
514	0.9776919777	0.2079737939
515	0.9774059774	0.2077313333
516	0.9778349778	0.2073153691
517	0.977977978	0.2068848377
518	0.977977978	0.2065527395
519	0.9782639783	0.2059987614
520	0.9781209781	0.2057962482
521	0.9784069784	0.2054635916
522	0.9784069784	0.2051637323
523	0.9785499785	0.2048531919
524	0.9785499785	0.2046915473
525	0.9786929787	0.2041272177
526	0.978978979	0.2038061399
527	0.9788359788	0.2033726454
528	0.9791219791	0.2030780724
529	0.9792649793	0.2026937562
530	0.9794079794	0.2020673096
531	0.978978979	0.2018208738
532	0.9794079794	0.2013108676
533	0.9796939797	0.2011242735
534	0.9795509796	0.2007235299
535	0.9796939797	0.200431902
536	0.9795509796	0.1998565702
537	0.9802659803	0.1993390394
538	0.9802659803	0.1990721621
539	0.9802659803	0.1987639066
540	0.9804089804	0.1984342837
541	0.9805519806	0.1980954244
542	0.9805519806	0.197632529
543	0.9811239811	0.1970556759
544	0.9808379808	0.1966831543
545	0.9808379808	0.1962530992
546	0.9811239811	0.1958588749
547	0.9811239811	0.1954392859
548	0.9812669813	0.195061622
549	0.9812669813	0.1944881162
550	0.9814099814	0.1940941306
551	0.9814099814	0.1935645632
552	0.9815529816	0.1932973153
553	0.9821249821	0.1924860023
554	0.9824109824	0.1920632234
555	0.9821249821	0.191634677
556	0.9828399828	0.1913251233
557	0.982982983	0.1908307186
558	0.9831259831	0.1906585942
559	0.9835549836	0.1903447912
560	0.9835549836	0.1898530042
561	0.9834119834	0.1896241698
562	0.9836979837	0.1891646934
563	0.9838409838	0.1887184948
564	0.983983984	0.1883844014
565	0.983983984	0.1879334628
566	0.9841269841	0.1877455556
567	0.9842699843	0.1874413257
568	0.9842699843	0.1870978714
569	0.9844129844	0.1867291365
570	0.9845559846	0.1864974779
571	0.9842699843	0.1862924722
572	0.9841269841	0.1859170679
573	0.9841269841	0.1856719449
574	0.9842699843	0.1855158435
575	0.9842699843	0.1851652446
576	0.9844129844	0.1849659068
577	0.9845559846	0.184421497
578	0.9844129844	0.1839489491
579	0.9846989847	0.1836636481
580	0.9846989847	0.1833723288
581	0.9846989847	0.1829308314
582	0.9846989847	0.1826082079
583	0.9846989847	0.1824396499
584	0.9846989847	0.1820353305
585	0.9848419848	0.1817679813
586	0.984984985	0.1815210368
587	0.9848419848	0.1810487438
588	0.9848419848	0.1808271229
589	0.9848419848	0.1805384174
590	0.984984985	0.1803717323
591	0.984984985	0.1801173426
592	0.9854139854	0.1795086643
593	0.9855569856	0.1792701651
594	0.9854139854	0.1789513578
595	0.9852709853	0.1786708021
596	0.9854139854	0.1785220372
597	0.9854139854	0.1782874346
598	0.9852709853	0.1779049833
599	0.9852709853	0.1776656045
600	0.9858429858	0.1770963357
601	0.9864149864	0.1766470231
602	0.9864149864	0.1764020776
603	0.9864149864	0.175962674
604	0.9864149864	0.1757741142
605	0.9864149864	0.1755068637
606	0.9868439868	0.1752902208
607	0.986986987	0.1748711242
608	0.9867009867	0.1743551378
609	0.986986987	0.173995498
610	0.986986987	0.1738579972
611	0.986986987	0.1736143333
612	0.986986987	0.1733231501
613	0.9872729873	0.1728531621
614	0.9875589876	0.1724936901
615	0.9872729873	0.1722118168
616	0.9872729873	0.171787524
617	0.9872729873	0.17164624
618	0.9872729873	0.1710447975
619	0.9872729873	0.1706953487
620	0.9872729873	0.1704622593
621	0.9875589876	0.1699529517
622	0.9877019877	0.1697484746
623	0.9877019877	0.1694526487
624	0.9875589876	0.1691612346
625	0.987987988	0.168877359
626	0.987987988	0.1686736745
627	0.987987988	0.1682462538
628	0.9881309881	0.1680284916
629	0.9881309881	0.1679345478
630	0.987987988	0.1675529844
631	0.9881309881	0.1672978847
632	0.9882739883	0.1668642145
633	0.9884169884	0.1665189866
634	0.9884169884	0.166352705
635	0.9884169884	0.1659631741
636	0.9887029887	0.1656422806
637	0.9887029887	0.1653859819
638	0.988988989	0.1649740309
639	0.988988989	0.1645917146
640	0.9891319891	0.1643425261
641	0.9891319891	0.1639675361
642	0.9892749893	0.163759073
643	0.9892749893	0.1634261903
644	0.9892749893	0.1630932396
645	0.9894179894	0.1628838337
646	0.9894179894	0.1626395202
647	0.9895609896	0.1624281682
648	0.9897039897	0.1622094581
649	0.9895609896	0.1618798413
650	0.9898469898	0.1614664716
651	0.9897039897	0.1612267159
652	0.9895609896	0.1609503547
653	0.9897039897	0.1605371105
654	0.9898469898	0.1603144146
655	0.9898469898	0.1600943271
656	0.9897039897	0.1598577876
657	0.9897039897	0.1594592458
658	0.98998999	0.1591596399
659	0.98998999	0.1590614938
660	0.9898469898	0.1588024754
661	0.9898469898	0.1584951373
662	0.9898469898	0.1584277428
663	0.9902759903	0.1577857917
664	0.9901329901	0.1574783966
665	0.9902759903	0.1571771565
666	0.9902759903	0.1569120684
667	0.9907049907	0.1565130846
668	0.9907049907	0.1561895252
669	0.9907049907	0.1558830099
670	0.9907049907	0.1557588553
671	0.9907049907	0.1554526238
672	0.990990991	0.155083558
673	0.990990991	0.1549916074
674	0.9915629916	0.1547074724
675	0.9912769913	0.1543264477
676	0.9914199914	0.1540320721
677	0.9911339911	0.1538037583
678	0.990990991	0.1537024344
679	0.9911339911	0.1536009617
680	0.9914199914	0.1534048649
681	0.9914199914	0.1531464022
682	0.9911339911	0.1527590036
683	0.9911339911	0.1525382633
684	0.9915629916	0.1523758922
685	0.9914199914	0.1522391118
686	0.9915629916	0.1518739024
687	0.9917059917	0.1517207758
688	0.9917059917	0.1515094641
689	0.9917059917	0.1512157572
690	0.991991992	0.1510655045
691	0.9921349921	0.1507457928
692	0.9928499928	0.1502096478
693	0.9924209924	0.1500613418
694	0.9927069927	0.1497242101
695	0.9928499928	0.1495277359
696	0.9928499928	0.1492420066
697	0.9927069927	0.1490912556
698	0.9928499928	0.1487892248
699	0.9928499928	0.1487355444
700	0.9928499928	0.1486400137
701	0.9928499928	0.148521132
702	0.9931359931	0.1481097524
703	0.9931359931	0.1479336525
704	0.9934219934	0.1476277342
705	0.9931359931	0.1473543449
706	0.9931359931	0.1469720002
707	0.9931359931	0.1466897445
708	0.9932789933	0.146504507
709	0.9931359931	0.146277745
710	0.9931359931	0.1460909793
711	0.9932789933	0.1458958618
712	0.9931359931	0.1457729084
713	0.9931359931	0.1455897537
714	0.992992993	0.1452473746
715	0.9934219934	0.1449924882
716	0.9935649936	0.1448487573
717	0.9931359931	0.1446540321
718	0.9932789933	0.144466156
719	0.9932789933	0.144208514
720	0.9932789933	0.1438458287
721	0.9931359931	0.1434909758
722	0.9931359931	0.143313227
723	0.9932789933	0.1431563176
724	0.9932789933	0.1430296111
725	0.9932789933	0.1429063425
726	0.9935649936	0.1426267568
727	0.9935649936	0.1423016707
728	0.9935649936	0.1421679645
729	0.9935649936	0.1420422098
730	0.9937079937	0.1417335316
731	0.9935649936	0.1412676578
732	0.9935649936	0.1411934294
733	0.9935649936	0.1409698006
734	0.9934219934	0.1408890516
735	0.9934219934	0.1405836493
736	0.9937079937	0.1403495849
737	0.9937079937	0.1400309676
738	0.9935649936	0.139934637
739	0.9935649936	0.1395961428
740	0.9935649936	0.1393251818
741	0.9935649936	0.1392149227
742	0.9937079937	0.1390094244
743	0.9938509939	0.1386892305
744	0.9938509939	0.1383784096
745	0.9938509939	0.1381007157
746	0.9938509939	0.1379429393
747	0.9937079937	0.1377622187
748	0.9937079937	0.1376927919
749	0.993993994	0.1373521382
750	0.993993994	0.1370868697
751	0.9938509939	0.1368962373
752	0.9941369941	0.1365233184
753	0.9941369941	0.1362717986
754	0.9941369941	0.1359402593
755	0.9941369941	0.1357732854
756	0.9942799943	0.1353686926
757	0.9942799943	0.1351782007
758	0.9942799943	0.1349803632
759	0.9944229944	0.1347065564
760	0.9945659946	0.134503998
761	0.9945659946	0.1344085178
762	0.9945659946	0.1341636047
763	0.9947089947	0.1339251154
764	0.9947089947	0.1337587956
765	0.9947089947	0.1335944634
766	0.9947089947	0.1333847617
767	0.9947089947	0.1332153933
768	0.9947089947	0.1329269616
769	0.9947089947	0.132715191
770	0.9947089947	0.1325625021
771	0.9947089947	0.1322148829
772	0.9948519949	0.1319876997
773	0.9948519949	0.1317572884
774	0.9948519949	0.1315227096
775	0.9948519949	0.1311497369
776	0.9948519949	0.1309162978
777	0.9948519949	0.1308285591
778	0.994994995	0.1305211103
779	0.994994995	0.1303802148
780	0.994994995	0.1300772185
781	0.994994995	0.1298129308
782	0.994994995	0.1296571194
783	0.994994995	0.1294969825
784	0.994994995	0.1291532494
785	0.994994995	0.1289368137
786	0.994994995	0.1286881173
787	0.994994995	0.1285737593
788	0.994994995	0.1284374833
789	0.994994995	0.1283153897
790	0.994994995	0.1280635278
791	0.9951379951	0.1277736668
792	0.9951379951	0.1276696937
793	0.9951379951	0.1273925275
794	0.9952809953	0.1271763191
795	0.9952809953	0.1270956322
796	0.9951379951	0.1269385519
797	0.9952809953	0.1266982716
798	0.9952809953	0.1266165567
799	0.9951379951	0.1263973899
800	0.9952809953	0.1261108513
801	0.9952809953	0.1259303198
802	0.9952809953	0.1256324824
803	0.9954239954	0.1253826587
804	0.9954239954	0.1251750224
805	0.9954239954	0.1250070655
806	0.9955669956	0.1248223665
807	0.9955669956	0.1245941667
808	0.9955669956	0.1243258418
809	0.9955669956	0.1242100873
810	0.9955669956	0.1240619526
811	0.9955669956	0.1239011443
812	0.9955669956	0.1237487859
813	0.9957099957	0.1235616071
814	0.9957099957	0.1233873677
815	0.9957099957	0.1232507319
816	0.9957099957	0.1229996849
817	0.9957099957	0.1228348132
818	0.9955669956	0.1226837715
819	0.9955669956	0.1225213599
820	0.9955669956	0.1222623015
821	0.9955669956	0.1221071301
822	0.9957099957	0.1219622963
823	0.9957099957	0.1217908258
824	0.9958529959	0.1216667798
825	0.9958529959	0.1215192001
826	0.9958529959	0.1213385661
827	0.9958529959	0.1212302863
828	0.9958529959	0.1211608093
829	0.9958529959	0.120877396
830	0.9958529959	0.1207111463
831	0.9958529959	0.1205633028
832	0.9958529959	0.1203226309
833	0.9958529959	0.1201416996
834	0.995995996	0.1199525135
835	0.9961389961	0.1198208387
836	0.9961389961	0.1196679891
837	0.9961389961	0.1195843973
838	0.9961389961	0.119429684
839	0.9958529959	0.1192567548
840	0.995995996	0.119086132
841	0.9961389961	0.1187154914
842	0.9961389961	0.1185650428
843	0.9961389961	0.1183803268
844	0.9961389961	0.1182199165
845	0.9961389961	0.1180525219
846	0.9961389961	0.1178924067
847	0.9961389961	0.117777008
848	0.9961389961	0.1176720944
849	0.9961389961	0.1175132821
850	0.9961389961	0.1173620705
851	0.9961389961	0.117200189
852	0.995995996	0.1169475409
853	0.995995996	0.1167657275
854	0.995995996	0.1165617095
855	0.9962819963	0.1164206349
856	0.9962819963	0.1160711353
857	0.9962819963	0.1158601702
858	0.9961389961	0.1156891295
859	0.9962819963	0.1155972497
860	0.9962819963	0.1152700619
861	0.9962819963	0.1150393453
862	0.9964249964	0.1148441199
863	0.9964249964	0.1146418471
864	0.9964249964	0.11431355
865	0.9964249964	0.1142045006
866	0.9964249964	0.1140545863
867	0.9964249964	0.1137919553
868	0.9964249964	0.1135556494
869	0.9965679966	0.1133072646
870	0.9965679966	0.1131891777
871	0.9965679966	0.1129901239
872	0.9965679966	0.1128056338
873	0.9965679966	0.1126888476
874	0.9964249964	0.1124238176
875	0.9965679966	0.1122731982
876	0.9965679966	0.112121005
877	0.9965679966	0.1118530829
878	0.9965679966	0.11176641
879	0.9965679966	0.1116478754
880	0.9965679966	0.1114668624
881	0.9965679966	0.1113365987
882	0.9968539969	0.111128329
883	0.996996997	0.1109859744
884	0.9968539969	0.1107238644
885	0.996996997	0.1105967376
